,访问时间,地域,来源,入口页面,搜索词,访问IP,访客标识码,访问时长,访问页数,最后停留在,上一次访问时间,访问类型,访问频次,操作系统,网络服务商,浏览器,语言环境,屏幕分辨率,屏幕颜色,Flash版本,是否支持Cookie,是否支持JAVA,打开时间,停留时长,页面地址
您在使用百度统计服务过程中看到搜索词或者关键词，仅能用于站长的SEO或SEM优化，不得用于其他商业用途或者不正当用途。,,,,,,,,,,,,,,,,,,,,,,,,,
1,2023/6/15 16:53,常州,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/boke,--,220.196.160.61,5.47994E+18,正在访问s,2,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,首次访问,新访客,1,Win 7,联通,QQ浏览器,中文(简体),1280x800,24-bit,,支持,不支持,16:53:39,正在访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
2,2023/6/15 16:42,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics/#%E7%BD%91%E7%AB%99%E6%B5%8F%E8%A7%88%E6%95%B0%E6%8D%AE,--,60.166.100.75,2.12332E+18,42s,2,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/15 14:44,老访客,4,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,16:42:47,42s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics/#%E7%BD%91%E7%AB%99%E6%B5%8F%E8%A7%88%E6%95%B0%E6%8D%AE
,,,,,,,,,,,,,,,,,,,,,,,16:43:29,正在访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
3,2023/6/15 14:44,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics/#%E7%BD%91%E7%AB%99%E6%B5%8F%E8%A7%88%E6%95%B0%E6%8D%AE,--,60.166.100.75,2.12332E+18,120s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics/#%E7%BD%91%E7%AB%99%E6%B5%8F%E8%A7%88%E6%95%B0%E6%8D%AE,2023/6/15 10:30,老访客,3,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,14:44:14,120s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics/#%E7%BD%91%E7%AB%99%E6%B5%8F%E8%A7%88%E6%95%B0%E6%8D%AE
4,2023/6/15 10:30,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics/#%E7%BD%91%E7%AB%99%E6%B5%8F%E8%A7%88%E6%95%B0%E6%8D%AE,--,60.166.100.75,2.12332E+18,1317s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics/#%E7%BD%91%E7%AB%99%E6%B5%8F%E8%A7%88%E6%95%B0%E6%8D%AE,2023/6/15 8:36,老访客,2,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,10:30:57,1317s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics/#%E7%BD%91%E7%AB%99%E6%B5%8F%E8%A7%88%E6%95%B0%E6%8D%AE
5,2023/6/15 8:36,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.100.75,2.12332E+18,3663s,3,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics/#%E7%BD%91%E7%AB%99%E6%B5%8F%E8%A7%88%E6%95%B0%E6%8D%AE,2023/6/15 8:36,老访客,1,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,8:36:37,754s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,8:49:11,670s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics
,,,,,,,,,,,,,,,,,,,,,,,9:09:22,1698s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics/#%E7%BD%91%E7%AB%99%E6%B5%8F%E8%A7%88%E6%95%B0%E6%8D%AE
6,2023/6/14 21:39,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,1.7454E+18,未知,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/5/29 17:02,老访客,1,Android 13.0,,微信浏览器,中文(简体),,24-bit,,支持,不支持,2023/6/14 21:39,未知,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
7,2023/6/14 21:31,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,1.89976E+18,94s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/5/29 19:06,老访客,1,Android 12.0,,微信浏览器,中文(简体),,24-bit,,支持,不支持,2023/6/14 21:31,94s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
8,2023/6/14 18:08,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,6s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/14 15:07,老访客,4,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/14 18:08,6s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
9,2023/6/14 15:07,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,--,60.166.103.35,2.12332E+18,1600s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,2023/6/14 11:45,老访客,3,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/14 15:07,1600s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
10,2023/6/14 11:45,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,--,60.166.103.35,2.12332E+18,120s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,2023/6/14 9:07,老访客,2,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/14 11:45,120s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
11,2023/6/14 9:07,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,55s,2,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/14 9:07,老访客,1,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/14 9:07,27s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/14 9:08,27s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
12,2023/6/13 19:53,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,1.86714E+18,411s,4,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/me/career/zhfxx,2023/6/13 19:53,老访客,1,Win 10,,Google Chrome,中文(简体),1920x1080,24-bit,,支持,不支持,2023/6/13 19:53,120s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 19:55,97s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 19:57,90s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/statstics
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 19:58,102s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/me/career/zhfxx
13,2023/6/13 18:48,上海,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,43.247.101.202,2.10724E+18,120s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,首次访问,新访客,1,macOS,,Google Chrome,中文(简体),1440x900,,,支持,不支持,2023/6/13 18:48,120s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
14,2023/6/13 17:44,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,--,60.166.103.35,2.12332E+18,1287s,12,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/13 13:44,老访客,4,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/13 17:44,5s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 17:44,72s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 17:46,4s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 17:46,52s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 17:47,12s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 17:47,8s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 17:47,62s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 17:48,655s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 17:59,12s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 17:59,376s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 18:05,8s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 18:06,14s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
15,2023/6/13 13:44,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,--,60.166.103.35,2.12332E+18,16s,4,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/13 10:58,老访客,3,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/13 13:44,3s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 13:44,44s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 13:44,1s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 13:44,3s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
